OBJECTID,DIST_11,PRCNCT_11,NAME_11,NAME_NUM,Shape__Area,Shape__Length
1,5,P5011,Happy Camp,Happy Camp - P5011,9603394558.08008,492743.565725056
2,5,M5019,Somes Bar,Somes Bar - M5019,10960065994.4795,595519.619524448
3,5,M5007,Forks of Salmon,Forks of Salmon - M5007,5668183738.17578,432570.184962882
4,5,M5018,Seiad,Seiad - M5018,5701204365.15918,359741.107618309
5,5,M5024,Hamburg,Hamburg - M5024,495355849.404297,94203.6459898835
6,5,M5017,Scott Bar,Scott Bar - M5017,2110092327.09082,215377.992340347
7,5,M5002,Cecilville,Cecilville - M5002,5944631444.75781,411176.971526192
8,1,M1014,Pondosa,Pondosa - M1014,9495357356.00879,436577.32170609
9,1,M1117,Tulelake 1,Tulelake 1 - M1117,11492276.3320313,16892.9111544058
10,1,P1105,Dorris 1,Dorris 1 - P1105,20024648.7089844,25280.7672034316
11,1,M1001,Bogus,Bogus - M1001,2389798418.50879,244845.977241029
12,5,P5012,Hornbrook,Hornbrook - P5012,1884748210.46973,223187.303813263
13,1,M1021,Klamathon,Klamathon - M1021,358835016.892578,105754.53235361
14,1,M1004,Copco,Copco - M1004,320465596.817383,95056.442201979
15,1,M1005,Iron Gate,Iron Gate - M1005,221120547.545898,68702.3929307465
16,2, ,City of Dunsmuir,City of Dunsmuir,48361219.6621094,78677.4994344259
17,2,P2014,Mt Shasta 3,Mt Shasta 3 - P2014,1540729264.16602,187812.855770321
18,2,2021,Edgewood 2,Edgewood 2 - 2021,222759403.639648,67736.9133411957
19,1,1028,Panther Meadows,Panther Meadows - 1028,219586245.318359,78264.1562884639
20,1,M1015,McCloud 3,McCloud 3 - M1015,9009329206.55664,464580.923107415
21,2,2023,Mott,Mott - 2023,136073777.146484,119023.2822957
22,2,2017,Black Butte,Black Butte - 2017,1271474656.67188,152225.750723893
23,2,P2019,Kinstrey,Kinstrey - P2019,291643610.369141,115466.42708369
24,3,P3014,Sisson,Sisson - P3014,144246365.509766,72872.8003682237
25,3,M3013,Warren,Warren - M3013,398811678.838867,126771.067476624
26,3, ,City of Weed,City of Weed,133419843.024414,88694.1568151
27,1,3028,Haystack,Haystack - 3028,102592295.15332,42299.3448099589
28,1,M1026,Big Springs,Big Springs - M1026,477599789.704102,168929.764114599
29,5,P5015,Quartz Valley,Quartz Valley - P5015,4111619337.31445,292405.071029807
30,5,M5016,Sawyers Bar,Sawyers Bar - M5016,6014565540.25977,382893.769981469
31,5,5003,Greenview,Greenview - 5003,1417586947.89941,300116.766601368
32,5,M5010,Horse Creek,Horse Creek - M5010,3800649519.70508,308906.567716876
33,5,M5013,Hilt,Hilt - M5013,2514464028.05176,269020.234748132
34,5,M5028,Hawkinsville 4,Hawkinsville 4 - M5028,397102928.512695,108060.192807322
35,1,P1002,Montague 2,Montague 2 - P1002,887718406.625977,228199.024992941
36,1,M1006,Hawkinsville 1,Hawkinsville 1 - M1006,176999144.75,104972.732419336
37,1,M3026,Montague 3,Montague 3 - M3026,71805680.3808594,41075.7469793636
39,1,M1023,Little Shasta A,Little Shasta A - M1023,4047539558.06836,324389.677053732
40,1,M3008,Little Shasta B,Little Shasta B - M3008,555332006.297852,120274.521225717
41,1,P1110,Montague 1,Montague 1 - P1110,49988703.8828125,40323.7622693362
43,1,M1024,Shasta River 2,Delphic - M1024,661030797.537109,120735.797924592
44,1,M1022,Tennant,Tennant - M1022,1018649380.93359,127699.131126353
45,5,M5034,Cottonwood B,Cottonwood B - M5034,79123936.6953125,44249.5098699778
46,5,M5025,Walker 5,Walker 5 - M5025,1596165715.72656,216154.126671466
47,5,M5032,Gottville,Gottville - M5032,772770451.126953,146307.660693031
48,5,5038,Greenhorn 5,Greenhorn 5 - 5038,600984993.637695,154940.879061317
49,1,P1003,Willow Creek,Willow Creek - P1003,2546438174.68652,330322.15557603
50,1,M1009,Macdoel,Macdoel - M1009,22665519796.4131,891320.01719163
51,1,M1008,Grass Lake,Grass Lake - M1008,5949469630.83105,548451.07531157
52,1,1030,Edgewood 1,Edgewood 1 - 1030,573831247.447266,105219.448790355
53,5,M5030,Oak Knoll,Oak Knoll - M5030,198900056.277344,64907.1358882544
54,1,P1010,McCloud 1,McCloud 1 - P1010,10724565.9394531,21371.8405308338
55,1,P1011,McCloud 2,McCloud 2 - P1011,12989963.4423828,19882.9991859134
56,5,M4028,Yreka U,Yreka U - M4028,24277145.3730469,28101.3589318036
57,4,P4115,Yreka 3,Yreka 3 - P4115,90167924.9482422,66763.4535500886
58,5,M5036,Humbug,Humbug - M5036,547192935.040039,168927.930750889
59,5,M5009,Klamath River,Klamath River - M5009,710829586.470703,155303.451279926
60,5,M5026,Cottonwood A,Cottonwood A - M5026,1295087585.30176,180289.838482602
61,2,P2115,Mt Shasta 4,Mt Shasta 4 - P2115,20878583.4326172,29555.5011670833
62,1,M1032,Greenhorn 6,Greenhorn 6 - M1032,212838042.819336,96232.4647973916
63,2,P2009,Dunsmuir 3,Dunsmuir 3 - P2009,1980278541.08398,279061.640370739
64,2,P2015,Mt Shasta 5,Mt Shasta 5 - P2015,1276094300.68164,211016.731967785
66,3,M3002,Gazelle,Gazelle - M3002,2355836737.8457,196941.645741442
67,5,M5001,Callahan,Callahan - M5001,5430671310.14258,386135.852119037
69,5,P5103,Etna 1,Etna 1 - P5103,21145668.1660156,31361.1507561701
70,5,P5107,Fort Jones 1,Fort Jones 1 - P5107,16789812.3935547,33961.2426545257
71,4,P4030,Forest Mountain,Forest Mountain - P4030,740660323.381836,136674.334744051
72,5,P5008,Fort Jones 2,Fort Jones 2 - P5008,7939286615.85352,690366.608388573
73,1,M1007,Dorris 2,Dorris 2 - M1007,8796015237.22656,583425.092729034
74,1,M1020,Tulelake 2,Tulelake 2 - M1020,4181180220.33691,367577.101716302
75,5,P5005,Etna 2,Etna 2 - P5005,4885687948.86816,390030.048766958
76,4,P4118,Yreka 5,Yreka 5 - P4118,20467577.0830078,22014.5907825861
77,4,P4116,Yreka 4,Yreka 4 - P4116,9801622.49414063,16936.3936685611
78,4,P4112,Yreka 2,Yreka 2 - P4112,9336317.39941406,13801.0744724245
79,4,P4121,Yreka 6,Yreka 6 - P4121,25733230.4121094,32599.6049521735
80,4,P4110,Yreka 1,Yreka 1 - P4110,131873745.321289,79257.7264999846
81,2,P2110,Mt Shasta 1,Mt Shasta 1 - P2110,55774878.1650391,55620.2987734339
82,2,P2111,Mt Shasta 2,Mt Shasta 2 - P2111,28824857.9345703,27824.6331208893
83,3,P3007,Lake Shastina E,Lake Shastina E - P3007,58074815.875,43258.0031205575
84,3,P3009,Mayten,Mayten - P3009,1770671610.17285,276240.444091193
85,3,P3006,Lake Shastina M,Lake Shastina M - P3006,48342488.9648438,90011.0812953695
87,1,M1027,Montague 4,Montague 4 - M1027,72617013.7714844,53442.9091272657
89,2,M2003,Springs,Springs - M2003,164160237.811523,93435.55689351
90,2,M2001,Butteville,Butteville - M2001,1402768003.49219,202556.047660547
91,2,M2002,Hammond,Hammond - M2002,81196740.8867188,58192.4231070637
93,3,P3004,Grenada,Grenada - P3004,1100163162.55469,154211.172974685
94,3,P3001,Edgewood,Edgewood - P3001,1384010954.38672,365471.320570345
95,3,P3021,Weed 3,Weed 3 - P3021,153908508.260742,83728.8093590425
