FID,ROADNAME,NUM_LANES,SUR_TYPE,Label_Cate
1,OLD SHASTA RIVER ROAD,2,Paved,County Road
2,LAURA AV,2,Paved,City Street
3,MURRAY AV,2,Paved,City Street
4,CHINA GRADE ROAD,2,Paved,County Road
5,LAURA AV,2,Paved,City Street
6,HWY 3,2,Paved,State Highway
7,RICHMAN LN,2,Paved,City Street
8,CHINA GRADE ROAD,2,Unpaved,County Road
9,SCHANTZ ROAD,2,Paved,County Road
10,FAIRLANE ROAD,2,Paved,County Road
11,INDIAN CREEK ROAD,2,Unpaved,County Road
12,WESTSIDE RD,2,Paved,City Street
13,TECHNOR ROBISON ROAD,2,Unpaved,County Road
14,HARRY CASH ROAD,2,Paved,County Road
15,SYLVA ROAD,2,Unpaved,County Road
16,FAIRLANE ROAD,2,Paved,County Road
17,HWY 96,2,Paved,State Highway
18,DAVIS  ROAD,2,Unpaved,County Road
19,HWY 96,2,Paved,State Highway
20,HAPPY CAMP DUMP ROAD,2,Paved,County Road
21,FOURTH AVENUE,2,Paved,County Road
22,WASHINGTON STREET,2,Paved,County Road
23,FOURTH AVENUE,2,Paved,County Road
24,TIMBER INN ROAD,2,Unpaved,County Road
25,FOURTH AVENUE,2,Paved,County Road
26,INDIAN CREEK ROAD,2,Paved,County Road
27,COOK CAMPBELL ROAD,2,Unpaved,County Road
28,CHINA GRADE ROAD,2,Unpaved,County Road
29,EAST STREET,2,Paved,County Road
30,THIRD AVENUE,2,Paved,County Road
31,THIRD AVENUE,2,Paved,County Road
32,WASHINGTON STREET,2,Paved,County Road
33,THIRD AVENUE,2,Paved,County Road
34,TIMBER INN ROAD,2,Unpaved,County Road
35,GORDONS FERRY ROAD,2,Unpaved,County Road
36,THIRD AVENUE,2,Paved,County Road
37,INDIAN CREEK ROAD,2,Paved,County Road
38,COOK CAMPBELL ROAD,2,Paved,County Road
39,HILLSIDE ROAD,2,Paved,County Road
40,HWY 96,2,Paved,State Highway
41,SECOND AVENUE,2,Paved,County Road
42,HEADWAY ROAD,2,Paved,County Road
43,SECOND AVENUE,2,Paved,County Road
44,WASHINGTON STREET,2,Paved,County Road
45,SECOND AVENUE,2,Paved,County Road
46,TIMBER INN ROAD,2,Unpaved,County Road
47,SECOND AVENUE,2,Paved,County Road
48,SYLVA ROAD,2,Paved,County Road
49,SECOND AVENUE,2,Paved,County Road
50,HWY 96,2,Paved,State Highway
51,HWY 96,2,Paved,State Highway
52,FIRST AVENUE,2,Paved,County Road
53,INDIAN CREEK ROAD,2,Paved,County Road
54,SECOND AVENUE,2,Paved,County Road
55,SYLVA ROAD,2,Unpaved,County Road
56,ELK CREEK ROAD,2,Paved,County Road
57,SYLVA ROAD,2,Paved,County Road
58,INDIAN CREEK ROAD,2,Paved,County Road
59,SECOND AVENUE,2,Paved,County Road
60,AIRPORT ROAD,2,Paved,County Road
61,NUGGET STREET,2,Paved,County Road
62,ELK CREEK ROAD,2,Paved,County Road
63,HWY 96,2,Paved,State Highway
64,SECOND AVENUE,2,Paved,County Road
65,HUMBUG CREEK ROAD,2,Unpaved,County Road
66,FIFTH AVENUE EAST,2,Unpaved,County Road
67,HWY 96,2,Paved,State Highway
68,ELK CREEK ROAD,2,Paved,County Road
69,CURLY JACK ROAD,2,Paved,County Road
70,HWY 96,2,Paved,State Highway
71,LOWER AIRPORT ROAD,2,Paved,County Road
72,SYLVA ROAD,2,Unpaved,County Road
73,AIRPORT ROAD,2,Paved,County Road
74,FIFTH AVENUE EAST,2,Unpaved,County Road
