X,Y,OBJECTID,Name,Descr,TimeWhen,Extrude,AltMode,Symbology,Labeling,Class
-142.9000000003,61.5000000003998,1,June 2000,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve</b><br></br><a href=",2000-06-16 12:00:00,1,RelativeToGround, , ,A
-132.79820000043,55.18720000008,2,1995,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 2917: Family observes large biped from car</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification",1995-05-15 12:00:00,1,RelativeToGround, , ,A
-132.82019999963,55.2034999999251,3,February 2004,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 7963: Sasquatch walks past window of house at night</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#class",2004-02-09 12:00:00,1,RelativeToGround, , ,A
-141.566699999705,62.9375000002249,4,June 2004,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 9317: Driver on Alcan Highway has noon, road encounter near Alaska-Canada border</b><br></br><a href=""http://www.bf",2004-06-18 12:00:00,1,RelativeToGround, , ,A
-149.785300000195,61.0594999996254,5,February 2004,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 13038: Snowmobiler has encounter in deep snow near Potter, AK</b><br></br><a href=""http://www.bfro.net/gdb/classify",2004-02-15 12:00:00,1,RelativeToGround, , ,A
-141.316499999975,62.7733500000025,6,April 2008,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road</b><br></br><a href=""http:/",2008-04-23 12:00:00,1,RelativeToGround, , ,A
-147.81419999963,64.8913900003483,7,July 2009,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks</b><br></br><a href=""http://www.bfro.net/gdb/clas",2009-07-15 12:00:00,1,RelativeToGround, , ,A
-85.1623499999525,32.3143500001525,8,September 1981 and 1982,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving</b><br></br><a href=""http:/",1981-09-15 12:00:00,1,RelativeToGround, , ,A
-87.3265500002822,33.2837499998627,9,July 1999,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard</b><br></br><a href=""http://www.bfro.net/gdb/clas",1999-07-15 12:00:00,1,RelativeToGround, , ,A
-86.4559000002848,34.9560499997078,10,November 1983,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 416: A resident's early evening sighting next to his home near New Market</b><br></br><a href=""http://www.bfro.net/",1983-11-15 12:00:00,1,RelativeToGround, , ,A
-86.6646499995978,34.5422000003298,11,October 2000,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs</b><br></br><a href=""http://www.bfro.n",2000-10-10 12:00:00,1,RelativeToGround, , ,A
-87.0202499999375,34.9263000001449,12,August 1993,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 451: Young man has sighting near home</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">Cla",1993-08-20 12:00:00,1,RelativeToGround, , ,A
-87.5090499995578,34.8040500004072,13,"79, 80, 99","<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 577: Man has repeated visits at family farm</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classificatio",1999-11-15 12:00:00,1,RelativeToGround, , ,A
-87.1104999997751,34.9285499995829,14,1978,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water</b>",1978-04-15 12:00:00,1,RelativeToGround, , ,A
-88.1788500003272,33.1319499998926,15,November 1980,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes ar",1980-11-15 12:00:00,1,RelativeToGround, , ,A
-88.0830499999575,31.4515000001249,16,January 1997,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 961: Motorist confronted by hairy, man-like creature on roadside</b><br></br><a href=""http://www.bfro.net/gdb/class",1997-01-06 12:00:00,1,RelativeToGround, , ,A
-87.4587599997742,33.9757500000625,17,1990,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1022: Hunters observe creature walking in the woods</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#class",1990-09-15 12:00:00,1,RelativeToGround, , ,A
-87.9609499999425,31.5825500000825,18,December 1996,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1907: Motorist sees Bigfoot like creature, hears scream</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#c",1996-12-05 12:00:00,1,RelativeToGround, , ,A
-86.6332999999949,34.4881000002149,19,2000,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 3028: Daylight sighting by lady while her husband was clearing trees</b><br></br><a href=""http://www.bfro.net/gdb/c",2000-06-01 12:00:00,1,RelativeToGround, , ,A
-87.0066499995978,34.6801999997302,20,2001,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 3296: Man on his way to work  sees sasquatch crossing road in his headlights</b><br></br><a href=""http://www.bfro.n",2001-10-15 12:00:00,1,RelativeToGround, , ,A
-87.0906899999435,31.1599999997003,21,February 2000,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 4743: Nighttime sighting by two teens in southern Conecuh County</b><br></br><a href=""http://www.bfro.net/gdb/class",2000-02-10 12:00:00,1,RelativeToGround, , ,A
-88.1499900004382,33.1299999999001,22,June 1958,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville</b><br></br><a href=""http://www.bfro.net/gdb/c",2007-09-01 12:00:00,1,RelativeToGround, , ,A
-87.3566400002358,33.2114500004172,23,August 2003,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 6938: Tracks and feces found in freshly turned field</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#clas",2003-08-30 12:00:00,1,RelativeToGround, , ,A
-87.3182099996917,33.2603499999526,24,June 2003,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 7031: Lady sees large hairy creature on the side of the road</b><br></br><a href=""http://www.bfro.net/gdb/classify.",2003-06-28 12:00:00,1,RelativeToGround, , ,A
-86.5210500000574,34.7324999995754,25,1949,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 7235: Recollection of an afternoon sighting on Green Mountain</b><br></br><a href=""http://www.bfro.net/gdb/classify",2004-05-28 12:00:00,1,RelativeToGround, , ,A
-85.4258000000699,32.6217999995704,26,January 2000,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 7427: Four youths have harrowing experience in Alabama backwoods. </b><br></br><a href=""http://www.bfro.net/gdb/cla",2003-11-26 12:00:00,1,RelativeToGround, , ,A
-86.6406600003587,33.3674000002099,27,March 2004,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 8171: Nighttime Sighting on County Road</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">C",2004-05-09 12:00:00,1,RelativeToGround, , ,A
